"Título";"Subtítulo";"Ingredientes";"Calorias";"Tempo de Preparo";"Modo de Preparo";"Tags"
"Croquetes de Frango Saudáveis";"Prático, crocante e muito saudável";"200 g de batata inglesa cozida|100 g de frango desfiado|Creme de ricota (1 colher por croquete)|1 ovo|Farinha de torrada Magic Tosty moída (ou farinha panko)";"102 kcal";"35 min";"**Massa:**
 Amasse as batatas em uma tigela até virar purê. Adicione o frango e misture até formar uma massa homogênea. Modele bolinhas, abra a massa, recheie com o creme de ricota e feche novamente.

**Empanar:**
 Passe nos ovos batidos e depois na farinha.

**Assar:**
 Leve à air fryer a 200 °C por 20 minutos.";"Saudável|Salgado|Sem Glúten"
"Macarrão com Queijo e Frango ao Barbecue com Mel";"O clássico americano em versão fit";"500 g de peito de frango em cubos ou filé-mignon suíno|1 colher de sopa de azeite|1/2 xícara de molho barbecue zero açúcar ou light|2 colheres de sopa de mel|1 colher de chá de páprica defumada|Sal e pimenta-do-reino a gosto|250 g de macarrão integral (penne, caracol ou parafuso)|1 xícara de leite desnatado|100 g de requeijão light ou cottage|1/2 xícara de queijo muçarela light ou cheddar light ralado|1 colher de chá de amido de milho|1 dente de alho ralado";"370 kcal";"30 min";"**Frango:**
 Aqueça o azeite e doure o frango. Tempere e adicione o barbecue com mel. Misture até caramelizar. Reserve.

**Macarrão:**
 Cozinhe em água salgada até ficar al dente. Escorra.

**Molho de queijo:**
 Misture o leite com o amido, alho, requeijão e queijo. Cozinhe em fogo baixo até engrossar.

**Finalização:**
 Misture o macarrão ao molho e sirva com o frango por cima.";"Saudável|Doce"
"Bolo de Chocolate Fit";"Fofinho, molhadinho e sem culpa";"1 ovo|2 colheres de sopa de farinha de aveia|1 colher de sopa de cacau em pó|1 colher de sopa de adoçante culinário|1 colher de sopa de leite ou água|1 colher de café de fermento em pó|1 xícara de leite|1 colher de sopa de cacau em pó|2 colheres de sopa de adoçante culinário|1 colher de café de amido de milho";"210 kcal";"35 min";"**Bolo:**
 Misture todos os ingredientes da massa, exceto o fermento. Acrescente o fermento por último. Leve ao forno ou air fryer a 180 °C por 25 minutos.

**Calda:**
 Leve todos os ingredientes ao fogo baixo até engrossar. Faça furinhos no bolo e despeje a calda por cima.";"Saudável|Doce|Vegetariano"
"Nuggets de Frango Teriyaki com Mel";"Melhor que o de fast-food e muito mais leve";"600 a 700 g de peito de frango em cubos|1 clara de ovo|1/2 xícara de amido de milho|Sal, alho em pó e cebola em pó|Óleo spray|1/3 xícara de shoyu|3 a 4 colheres de sopa de mel|2 colheres de sopa de vinagre de arroz ou maçã|2 dentes de alho ralados|1 colher de chá de gengibre ralado|1 colher de chá de amido de milho|Gergelim e cebolinha para finalizar";"338 kcal";"25 min";"**Frango:**
 Tempere o frango, misture com a clara e empane no amido.

**Assar:**
 Leve à air fryer a 200 °C por 8 a 12 minutos, virando na metade do tempo.

**Molho:**
 Leve todos os ingredientes do molho ao fogo baixo até engrossar.

**Finalização:**
 Misture os nuggets ao molho e finalize com gergelim e cebolinha.";"Saudável|Doce|Sem Glúten|Sem Lactose"
"Pão de Batata Saudável";"O lanche perfeito para qualquer hora";"250 g de batata inglesa cozida|2 colheres de sopa de farinha de aveia|1 colher de sopa de azeite|Sal a gosto|Muçarela e frango desfiado";"180 kcal";"40 min";"- Amasse as batatas sem casca.
- Adicione os demais ingredientes da massa e misture bem.
- Divida em 4 partes, abra, recheie e feche.
- Pincele ovo por cima e leve à air fryer a 200 °C por 20 minutos.";"Saudável|Salgado|Café da Manhã"
"Frango Cremoso com Cebola Caramelizada e Purê";"Conforto e cremosidade em cada garfada";"600 g a 1 kg de peito de frango|2 cebolas grandes fatiadas|200 g de creme de leite|1 colher de sopa de requeijão|2 colheres de sopa de creme de cebola (opcional)|Azeite ou manteiga|1 colher de chá de shoyu ou mel (opcional)|Sal, pimenta e páprica|Queijo muçarela (opcional)|1 kg de batatas|2 colheres de sopa de manteiga|1/2 xícara de leite|Sal a gosto|1 dente de alho (opcional)";"550 kcal";"50 min";"**Purê:**
 Cozinhe as batatas, amasse e leve à panela com manteiga, alho e leite até ficar cremoso.

**Cebola:**
 Refogue as cebolas até caramelizar. Reserve.

**Frango:**
 Doure o frango, volte a cebola à panela e adicione o creme de leite e o requeijão. Cozinhe até engrossar.

**Montagem:**
 Faça uma camada de purê, cubra com o frango e finalize com queijo, se desejar.";"Saudável|Doce|Sem Glúten"
"Barrinha de Morango";"Refrescante, proteico e super rápido";"4 colheres de sopa de leite em pó desnatado|1/2 xícara de morango picado|Água para dar ponto";"180 kcal";"1h 10min";"- Misture o leite em pó com água até formar um creme.
- Distribua os morangos em uma vasilha, cubra com o creme e leve ao congelador até firmar.";"Saudável|Doce|Vegetariano|Sem Glúten|Low Carb"
"Salada de Batata com Molho Verde";"Leveza e frescor com um toque especial";"200 g de batata inglesa crua|10 ml de azeite|Sal, páprica defumada, alho e cebola em pó|100 g de tomate sem sementes|100 g de pimentão|50 g de cebola roxa|2 ovos cozidos (claras separadas das gemas)|2 gemas cozidas|100 g de iogurte desnatado|Salsinha a gosto|Suco de 1/2 limão|Sal, pimenta-do-reino e lemon pepper";"260 kcal";"25 min";"Misture tomate, pimentão, cebola e claras em uma tigela. Envolva as batatas em papel-toalha úmido e leve ao micro-ondas por 4 minutos. Corte em cubos, tempere e volte ao micro-ondas de 2 em 2 minutos até ficarem douradas. Adicione à salada.

**Molho:**
 Bata todos os ingredientes do molho e misture à salada.";"Saudável|Salgado|Vegetariano|Sem Glúten"
"Tortinha de Frango na Frigideira";"Rápida, nutritiva e feita na hora";"1 a 2 batatas inglesas cozidas|100 a 150 g de frango desfiado|50 g de queijo muçarela";"520 kcal";"20 min";"- Amasse as batatas até virar purê.
- Tempere com sal.
- Divida em duas partes.
- Forre o fundo de uma frigideira untada com metade da massa, coloque o recheio e cubra com o restante.
- Doure dos dois lados.";"Saudável|Salgado|Rápido|Sem Glúten"
"Cheddar Mac Melt Fit";"Sabor intenso com poucas calorias";"1 Rap10|Carne moída a gosto|1 1/2 fatia de queijo cheddar|30 ml de leite|1/4 de cebola";"430 kcal";"15 min";"- Espalhe a carne moída sobre o Rap10, tempere e sele na frigideira quente com a carne para baixo.
- Vire e sele o outro lado.
- Derreta o cheddar com o leite no micro-ondas por 1 minuto e 30 segundos, mexendo ao retirar.
- Refogue a cebola até dourar.
- Monte com o queijo por cima da carne, adicione a cebola e dobre ao meio.";"Saudável|Doce|Rápido|Low Carb"
